,name,copy
0,株式会社ビッグモーター | ★＼業界No.1企業の安定基盤◆平均月収67.6万円！／★,未経験からはじめる【カーライフアドバイザー】*学歴/年齢不問 正社員
1,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー★,将来は各店舗の責任者として活躍！注文住宅の【建築設計】 正社員
2,株式会社ランディックス | 【2019年12月マザーズ上場】★平均年収750万円★年間休日113日,【不動産営業】営業未経験から年収700万円以上可能★夏冬9連休 正社員
3,株式会社テイクス | 【新宿事業所】東証一部アイ・エス・ビーグループ★通勤面相談可,【ITエンジニア】キャリアを活かして活躍しよう！※高卒以上 正社員
4,株式会社ビッグモーター | 業界No.1企業の安定性／面接1回／転勤なし／月8～10日休み,未経験からはじめる【登録事務スタッフ】☆基本定時退社 正社員
5,株式会社ビッグモーター | ★月8日休み★ムダな残業なし★転勤なし★産休育休の実績多数,【店舗スタッフ】★約90％が年収650万円以上！★40歳以下 正社員
6,アクサス株式会社 | 【テレワーク案件も稼動中】★月残業20h未満★年間休日125日以上,【インフラエンジニア】確かなキャリアでわくわくする未来を。 正社員
7,株式会社テイクス | 【本社】上流工程のプロジェクトも多数！上場企業グループ会社,【ITエンジニア】技術を活かした転職を実現※学歴不問※転勤なし 正社員
8,"株式会社グランレブリー | 【知名度抜群！テレビCM放映中】年収1,200万円も目指せます！",UIターン歓迎！寮完備！※単身用／ファミリー用【建築施工管理】 正社員
9,日研トータルソーシング株式会社 | ブリヂストンなど業界大手に引き抜かれた先輩は年間40名以上！,ロボットの【メンテナンススタッフ】未経験でもゼロから学べる！ 正社員
10,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,【資材管理スタッフ】★高収入可能×社宅完備のエリア多数 正社員
11,株式会社ビッグモーター | 業界No.1の実績＆安定性／面接1回／月8～10日休み／転勤なし,【事務】☆月給23万9800円～☆残業なし☆基本土日休み☆未経験OK 正社員
12,株式会社そら | 【注目の「Dr.ストレッチ」を展開】10/24転職フェア＠千葉出展！,未経験歓迎！【ストレッチトレーナー】◆年休112日・全国募集 正社員
13,株式会社貴順 | ★未経験歓迎★初期費用0円★週払い・日払い制度有★男女活躍中,【軽ドライバー】★必要なものは普通免許のみ★東日本エリア限定 業務委託
14,日本eリモデル株式会社 | ☆未経験入社80%以上☆勤続1年以上勤務者の平均月収59万3000円☆,景気に左右されず好調！【企画営業】就職祝金15万円★転勤なし★ 正社員
15,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,【製造スタッフ】高収入を目指せます！★月収最大42万円も可能 正社員
16,UTコンストラクション株式会社 | 大阪府緊急雇用対策に賛同・東証一部上場グループ,【点検・保守】日勤案件がほとんど/基本土日休み/平均月収29万円 正社員
